"e" "j" "x"
"shem" 0 1.02827763496144 0
"shoulder" 0 0 0
"shouldest" 0 0 0
"shrubs" 0 0 0
"sign" 0 0 0
"sin" 0 0 0.147492625368732
"sister" 0.426439232409382 0 0
"skins" 0 0 0
"slain" 0 0 0
"slay" 0 0 0
"slayeth" 0 0 0
"slept" 0 0 0
"smite" 0 0 0
"soul" 0 0 0
"speech" 0 0 0
"spent" 0 0 0
"sprung" 0 0 0
"stones" 0 0 0
"strength" 0 0 0
"subtle" 0 0 0
"suck" 0 0 0
"sun" 0 0 0
"sweat" 0 0 0
"sword" 0 0 0
"take" 0.213219616204691 0 0
"tarried" 0 0 0
"ten" 0 0 0
"tenth" 0 0 0
"tents" 0 0.25706940874036 0
"their" 0 1.02827763496144 0.147492625368732
"thence" 0 0 0
"these" 0 0.51413881748072 0
"thing" 0.213219616204691 0 0.147492625368732
"third" 0 0 0
"thistles" 0 0 0
"thorns" 0 0 0
"tiller" 0 0 0
"tillest" 0 0 0
"together" 0 0 0
"touch" 0 0 0
"truly" 0 0 0
"turned" 0 0 0
"twelve" 0 0 0
"vengeance" 0 0 0
"visited" 0 0 0
"vow" 0 0 0
"vowed" 0 0 0
"walking" 0 0 0
"wandered" 0 0 0
"watered" 0 0 0
"we" 0 0 0.884955752212389
"wept" 0.213219616204691 0 0
"whatsoever" 0 0 0
"whence" 0 0.25706940874036 0
"wherefore" 0 0.25706940874036 0.147492625368732
"whereof" 0 0 0
"wilderness" 0 0 0.294985250737463
"wise" 0 0 0
"wounding" 0 0 0
"yea" 0 0 0
"yield" 0 0 0
"young" 0 0 0
"your" 0 0 1.03244837758112
