mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
26,2, ,2,58.464,55,8,1,29,22,17,12,10,8,9,15,12,12,8,25,4,29,2,16,5,15.6,78,0,4,21,19,18,14,9,19,16,11,12,9,7,27,4
47,2,12,2,120,400,8,0,40,27,21,8,5,0,11,15,14,10,3,6,0,42,2,13,3,66,400,19,0,36,28,21,7,5,17,12,18,17,14,3,6,0
 , , , , , , , , , , , , , , , , , , , ,0,58,3,9,1,0,27,5,1,41,34, , ,0,19, ,16,17,13,7,22,5
35,2,15,3,66,76,1,0,37,24,25,7,5,4,13,13,14,10,8,25,9,35,2,11,2,0,76,1,0,36,25,28,5,5,10,18,13,16,11,10,24,8
41,2,12,2, ,97,20,3,38,17,27,9,5,0,8,12,12,11,5,22,2,39,2,14,3,63.6,97,0,1,37,20,10,17,5,15,11,12,12,13,4,22,3
45,2,20,5,84,0,0,1,34,24,13,14,5,7,16,16,15,13,12,26,11,43,2,15,4,45.6,141,2,0,39,28,16,21,6,15,12,17,18,15,7,20,11
34,2,12,2,49.92,90,1,0,35,26,22,9,5,10,13,12,15,13,8,15,3,35,2,13,4,48,90,1,0,34,24,20,5,5,16,11,13,15,10,7,16,2
47,2,9,2,48,105,2,2,36,26,11,20,8,10,12,16,16,12,7,15,1,46,2,13,3,46.8,105,2,4,31,20,13,21,8,24,13,16,16,13,7,22,9
46,2,16,4,55.2,91,1,0,37,31,22,7,5,23,15,18,14,11,4,18,2,38,2,11,2,33.6,91,2,0,37,30,22,7,5,16,15,18,14,11,4,18,2
37,2,13,3,44.352,88,1,1,34,27,17,13,5,13,13,13,15,12,11,23,9,33,2,11,2,0,87,2,0,32,24,18,14,5,11,13,12,15,12,11,23,8
 , , , , , , , , , , , , , , , , , , , ,0,33,3,15,3,0,75,1,0,41,31, , ,0,11,10,13,16,12,8,30,12
 , , , , , , , , , , , , , , , , , , , ,0,28,3,12,3,2.3,54,2,1,30,27, , ,0,6,9,15,14,14,9,25,6
 , , , , , , , , , , , , , , , , , , , ,0,28,3,13,3,0,45,0,0,28,20, , ,0,10,16,15,13,12,10,28,13
68,2,10,3,0,62,2,0,33,23,21,10,5,13,12,16,12,11,9, ,2,69,2,8,1,0,62,4,2,33,22,23,11,5,10,14,16,14,10,9, ,2
35,2,18,5,6.4,150,1,4,38,29,20,13,5,23,11,16,19,16,11,29,9,30,2,13,3,84,150,1,0,36,28,14,9,5,21,11,13,16,10, ,20,4
46,2,12,2,48,220,0,0,39,28,25,13,5,9,13,16,13,12,6,13,2,44,2,13,3,85.2,218,0,0,39,26,20,13,5,18,13,16,13,13,4,12,1
36,2,12,2,50.4,120,0,4,36,26,22,11,5,7,18,17,18,15,10,22,7,35,2,13,3,66,100,2,0,47,26,22,9,8,0,16,15,15,11,12,23,7
33,2,13,3,72,115,1,0,31,23,12,19,5,9,2,9,11,8,8,30,6,31,2,17,3,55.2,115,1,0,31,26,11,10,5,4,2,13,12,9,6,23,0
56,2,11,2,0,84,6,4,29,19,22,15,5,14,13,11,13,11,13,28,9,55,2,14,3,57.6,84,7,2,29,15,20,9,5,18,14,11,11,14,13,28,9
 , , , , , , , , , , , , , , , , , , , ,0,36,3,9,1,45.6,67,6,1,29,23, , ,0,14, ,17,11,14,12,30,11
 , , , , , , , , , , , , , , , , , , , ,0,44,3,9,1,43.2,57,13,4,30,26, , ,0,11, ,19,12,14,12,30,13
37,2,12,2,70.008,120,2,1,36,20,7,24,6,1,13,12,14,9,10,21,7,35,2,14,4,48,120,3,0,36,28,14,21,14,22,11,13,12,10,11,18,11
28,2,12,3,45.6,58,1,1,38,23,20,11,5,12,14,15,10,8,7,25,4,26,2,11,3,12,58,7,2,36,23,20,8,5,8,14,17,15,12,7,24,1
38,2,12,2,48,75,3,1,37,27,17,12,5,4,12,15,13,13,10,25,8,35,2,12,2,48,75,3,2,41,27,21,10,7,17,19,14,16,12,10,24,9
62,2,14,3,5.28,72,4,2,35,21,25,7,5,6,16,12,15,7,8,18,4,58,2,9,2, ,71,11,2,33,22,23,12,5,7,12,12,15,8,8,19,4
47,2,13,3,90,147,2,1,41,21,8,28,5,8,18,19,14,13,7,27,7,38,2,13,3,66,148,3,1,35,26, ,14,3,14,21,18,17,14,9,18,7
34,2,17,5,96,110,2,2,29,24,14,14,5,10,20,14,14,8,6,17,0,32,2,16,5,36,110,1,1,34,25,18,8,5,20,20,17,17,12,5,16,1
36,2,9,1,43.2,90,0,0,34,20,10,16,9,5,8,15,17,10,10,23,2,35,2,13,3,60,80,0,0,24,15,15,15,11,19,2,10,10,9,9,21,1
37,2,12,2,62.4,67,1,0,33,19,21,13,6,21,2,10,11,10,10,30,10,25,2,12,2, ,62,1,1,26,24,17,14,6,16,9,14,14,11,10,21,8
43,2,12,2,60,110,2,4,35,23,21,16,0,10,2,11,10,8,6,16,1,39,2,15,3,58.8,110,4,1,30,20,16,14,8,23,10,17,17,13,7,20,4
38,2,9,2,30.24,98,0,0,28,18,20,11,5,0,20,15,14,11,10,30,6,32,2,9,2, ,98,0,0,37,23,26,7,5,10,15,18,16,14,9,30,5
 , , , , , , , , , , , , , , , , , , , ,0,31,3,13,3, ,66,0,0,28,24, , ,0,5,12,14,13,9,14,30,11
58,2,16,3,48,112,3,3,34,24,27,9,5,31,21,15,14,12,6,23,5,53,2,16,3, ,112,6,3,33,22,27,9,5,30,19,15,14,12,6,23,5
47,2,14,3,53.628,99,6,0,27,18,15,26,5,6,19,14,12,10,9,25,6,45,2,13,3,42,99,7,0,25,17,12,22,9,18,16,14,14,10,11,23,8
36,2,13,3,40.8,120,0,0,35,27,19,13,5,11,8,18,18,14,8,22,5,34,2,19,5,60,120,1,1,37,25,19,13,5,17,15,15,19,16, ,20,7
72,2,19,5,0,68,2,2,36,21,26, ,5,24,21,13,16,9,8,20,8,65,2,11,2, ,78,4,2,43,24,27, ,5,19,20,12, ,8,9,22,8
64,2,14,3,16.8,90,2,0,30,15,9,19,6,15,5,9,11,8,9,22,5,60,2,11,3,0,90,3,0,32,21,12,21,8,5,9,7,10,10,7,26,5
34,2,12,2,57.6,80,0,0,41,31,20,13,5,12,12,17,13,12,5,17,1,33,2,11,3,22.8,80,1,0,41,24,22,13,5,15,15,18,15,12,5,20,5
33,2,9,2,43.2,80,1,0,37,24,17,13,5,9,17,18,14,14,6,22,6,35,2,9,2,28.8,80,1,2,36,24,17,13,5,8,14,12,12,9,8,23,6
45,2,12,2,60,167,0,0,36,23,11,15,5,18,14,14,15,14,6,17,3,41,2,14,3,64.8,165,0,0,37,27,21,12,5,13,13,15,16,14,5,15,2
63,5,8,2,10.248,84,6,1,33,24,22,12,5,14,13,13,12,12,7,20,6,57,4,11,3,0,84,5,4,33,25,21,10,8,19,13,17,14,15,8,21,7
47,2,13,3,62.4,125,2,0,41,22,27,22,4,22,19,17,17,14,11,16,9,40,2,13,3,60,125,1,1,32,21,7,18,6,27,19,20,19,14,8,15,9
50,2,12,3,55.2,132,1,0,49,29,19,5,5,20,13,15,16,12,5,21,1,45,2,15,4,56.4,133,0,0,50,34,24,5,5,17,10,16,18,13,5,18,1
28,2,17,5,90,110,0,0,39,24,22,10,7,19,12,19,15,15,7,20,3,28,2,16,5,0,110,2,1,37,26,22,9,6,10,10,15,15,12,8,14,2
62,2,9,2, ,65,1,0,36,26,22,17,5,23,11,17,17,13,7,19,7,60,2,13,3,0,65,8,0,37,28,15,14,5,26,11,17,17,13,7,20,7
 , , , , , , , , , , , , , , , , , , , ,0,47,3,10,2,44.16,59,4,4,37,24, , ,0,11, , ,15,12,12,21,10
 , , , , , , , , , , , , , , , , , , , ,0,37,1,13,4,57.6,106,3,4,35,26, , ,0,17, ,16,15,13,7,21,3
45,2,13,3,78,110,1,0,37,24,23,10,5,20,14,20,20,15,11,27,8,39,2,13,3,45.6,100,0,4,38,23,18,13,5,17,10,13,14,11,13,29,10
